Category,Correction,Original Text,Position
Locations,Sun Home→Sunhome,Sun Home,35865
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,1298
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,1405
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,53689
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,56611
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,56680
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,56810
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,65448
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,67275
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,67712
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,70247
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,72256
Guilds,Izzy Guild→Izzet Guild,Izzy Guild,15137
Guilds,Celestian Conclave→Selesnya Conclave,Celestian conclave,8086
PC Names,Santis→Sanis,Santis,77221
PC Names,Varus→Varis,Varus,11912
PC Names,Varus→Varis,Varus,23729
PC Names,Varus→Varis,Varus,26563
PC Names,Varus→Varis,Varus,26824
PC Names,Varus→Varis,Varus,31235
PC Names,Varus→Varis,Varus,46015
PC Names,Varus→Varis,Varus,49236
PC Names,Varus→Varis,Varus,52871
PC Names,Varus→Varis,Varus,54671
PC Names,Varus→Varis,Varus,54795
PC Names,Varus→Varis,Varus,63089
PC Names,Varus→Varis,Varus,67649
PC Names,Varus→Varis,Varus,70456
PC Names,Varus→Varis,Varus,72372
PC Names,Varus→Varis,Varus,72655
PC Names,Varus→Varis,Varus,72996
PC Names,Selina→Selena,"
Selina.",56981
Characters,Raul→Ral, Raul ,12673
Guilds,Boris→Boros, Boris ,20282
