Category,Correction,Original Text,Position
Artifacts,leather daddy bowl→leather daddy ball,leather daddy bowl,35845
Terms,Guild Pact→Guildpact,Guild Pact,18649
Factions,Second Son→Second Sun,second son,56370
Characters,Domri Raid→Domri Rade,Domri Raid,5116
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,5995
Locations,Railana Estate→Reylana Mansion,Railana estate,5721
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,15814
PC Names,Santis→Sanis,Santis,7279
PC Names,Santis→Sanis,Santis,7491
PC Names,Santis→Sanis,Santis,7801
PC Names,Santis→Sanis,Santis,7828
PC Names,Santis→Sanis,Santis,7932
PC Names,Santis→Sanis,Santis,8045
PC Names,Santis→Sanis,Santis,8360
PC Names,Santis→Sanis,Santis,8546
PC Names,Santis→Sanis,Santis,8686
PC Names,Santis→Sanis,Santis,8723
PC Names,Santis→Sanis,Santis,8996
PC Names,Santis→Sanis,Santis,9332
PC Names,Santis→Sanis,Santis,9681
PC Names,Santis→Sanis,Santis,9769
PC Names,Santis→Sanis,Santis,11174
PC Names,Santis→Sanis,Santis,11637
PC Names,Santis→Sanis,Santis,11963
PC Names,Santis→Sanis,Santis,12338
PC Names,Santis→Sanis,Santis,12911
PC Names,Santis→Sanis,Santis,14049
PC Names,Santis→Sanis,Santis,14272
PC Names,Santis→Sanis,Santis,16399
PC Names,Santis→Sanis,Santis,16909
PC Names,Santis→Sanis,Santis,17195
PC Names,Santis→Sanis,Santis,21913
PC Names,Santis→Sanis,Santis,22203
PC Names,Santis→Sanis,Santis,22677
PC Names,Santis→Sanis,Santis,22960
PC Names,Santis→Sanis,Santis,23036
PC Names,Santis→Sanis,Santis,23971
PC Names,Santis→Sanis,Santis,26051
PC Names,Santis→Sanis,Santis,26530
PC Names,Santis→Sanis,Santis,29983
PC Names,Santis→Sanis,Santis,30188
PC Names,Santis→Sanis,Santis,30297
PC Names,Santis→Sanis,Santis,32040
PC Names,Santis→Sanis,Santis,32226
PC Names,Santis→Sanis,Santis,33245
PC Names,Santis→Sanis,Santis,35118
PC Names,Santis→Sanis,Santis,35960
PC Names,Santis→Sanis,Santis,37312
PC Names,Santis→Sanis,Santis,38062
PC Names,Santis→Sanis,Santis,42393
PC Names,Santis→Sanis,Santis,42743
PC Names,Santis→Sanis,Santis,42810
PC Names,Santis→Sanis,Santis,42998
PC Names,Santis→Sanis,Santis,44427
PC Names,Santis→Sanis,Santis,44576
PC Names,Santis→Sanis,Santis,44652
PC Names,Santis→Sanis,Santis,44890
PC Names,Santis→Sanis,Santis,45214
PC Names,Santis→Sanis,Santis,46610
PC Names,Santis→Sanis,Santis,47740
PC Names,Santis→Sanis,Santis,49871
PC Names,Santis→Sanis,Santis,51690
PC Names,Santis→Sanis,Santis,51758
PC Names,Santis→Sanis,Santis,52623
PC Names,Santis→Sanis,Santis,53257
PC Names,Santis→Sanis,Santis,53426
PC Names,Santis→Sanis,Santis,54249
PC Names,Santis→Sanis,Santis,54423
PC Names,Santis→Sanis,Santis,54511
PC Names,Santis→Sanis,Santis,55274
PC Names,Santis→Sanis,Santis,55414
PC Names,Santis→Sanis,Santis,55693
PC Names,Santis→Sanis,Santis,55756
PC Names,Santis→Sanis,Santis,55949
PC Names,Santis→Sanis,Santis,56959
PC Names,Santis→Sanis,Santis,59747
PC Names,Santis→Sanis,Santis,60515
PC Names,Santis→Sanis,Santis,60594
PC Names,Santis→Sanis,Santis,60751
PC Names,Santis→Sanis,Santis,61907
PC Names,Santis→Sanis,Santis,62092
PC Names,Santis→Sanis,Santis,62410
PC Names,Santis→Sanis,Santis,62579
PC Names,Santis→Sanis,Santis,62688
PC Names,Santis→Sanis,Santis,62900
PC Names,Santis→Sanis,Santis,63004
PC Names,Santis→Sanis,Santis,63066
PC Names,Santis→Sanis,Santis,63292
PC Names,Santis→Sanis,Santis,63415
PC Names,Santis→Sanis,Santis,63501
PC Names,Santis→Sanis,Santis,63692
PC Names,Santis→Sanis,Santis,63815
PC Names,Santis→Sanis,Santis,63952
PC Names,Santis→Sanis,Santis,64654
PC Names,Santis→Sanis,Santis,64774
PC Names,Santis→Sanis,Santis,64880
PC Names,Santis→Sanis,Santis,64957
PC Names,Santis→Sanis,Santis,65156
PC Names,Santis→Sanis,Santis,65437
PC Names,Santis→Sanis,Santis,65607
PC Names,Santis→Sanis,Santis,65912
PC Names,Santis→Sanis,Santis,65947
PC Names,Santis→Sanis,Santis,66083
PC Names,Santis→Sanis,Santis,66181
PC Names,Santis→Sanis,Santis,66365
PC Names,Santis→Sanis,Santis,66440
PC Names,Santis→Sanis,Santis,66559
PC Names,Santis→Sanis,Santis,66762
PC Names,Santis→Sanis,Santis,66914
PC Names,Santis→Sanis,Santis,66981
PC Names,Santis→Sanis,Santis,67047
PC Names,Santis→Sanis,Santis,67257
PC Names,Santis→Sanis,Santis,67309
PC Names,Santis→Sanis,Santis,67511
PC Names,Santis→Sanis,Santis,67801
PC Names,Santis→Sanis,Santis,68398
PC Names,Santis→Sanis,Santis,68426
PC Names,Santis→Sanis,Santis,69932
PC Names,Santis→Sanis,Santis,70587
PC Names,Santis→Sanis,Santis,70668
PC Names,Santis→Sanis,Santis,70766
PC Names,Santis→Sanis,Santis,71075
PC Names,Santis→Sanis,Santis,71249
PC Names,Santis→Sanis,Santis,71703
PC Names,Santis→Sanis,Santis,72721
PC Names,Santis→Sanis,Santis,72729
PC Names,Santis→Sanis,Santis,73134
PC Names,Santis→Sanis,Santis,73212
PC Names,Santis→Sanis,Santis,75339
PC Names,Santis→Sanis,Santis,75422
PC Names,Santis→Sanis,Santis,75585
PC Names,Santis→Sanis,Santis,75794
PC Names,Santis→Sanis,Santis,75864
PC Names,Santis→Sanis,Santis,76154
PC Names,Santis→Sanis,Santis,76219
PC Names,Santis→Sanis,Santis,76486
PC Names,Santis→Sanis,Santis,77598
PC Names,Santis→Sanis,Santis,77614
PC Names,Santis→Sanis,Santis,77704
PC Names,Santis→Sanis,Santis,77992
PC Names,Santis→Sanis,Santis,78105
PC Names,Santis→Sanis,Santis,78443
PC Names,Santis→Sanis,Santis,78596
PC Names,Santis→Sanis,Santis,79587
PC Names,Santis→Sanis,Santis,81369
PC Names,Santis→Sanis,Santis,82025
PC Names,Santis→Sanis,Santis,83387
PC Names,Santis→Sanis,Santis,84646
PC Names,Santis→Sanis,Santis,85297
PC Names,Santis→Sanis,Santis,85827
PC Names,Santis→Sanis,Santis,86283
PC Names,Santis→Sanis,Santis,87463
PC Names,Santis→Sanis,Santis,87820
PC Names,Santis→Sanis,Santis,88030
PC Names,Santis→Sanis,Santis,88454
PC Names,Santis→Sanis,Santis,92170
PC Names,Santis→Sanis,Santis,96935
PC Names,Santis→Sanis,Santis,97512
PC Names,Santis→Sanis,Santis,97602
PC Names,Santis→Sanis,Santis,102135
PC Names,Santis→Sanis,Santis,102460
PC Names,Santis→Sanis,Santis,102522
PC Names,Santis→Sanis,Santis,104308
PC Names,Santis→Sanis,Santis,107304
PC Names,Santis→Sanis,Santis,107435
PC Names,Santis→Sanis,Santis,107684
PC Names,Santis→Sanis,Santis,107949
PC Names,Santis→Sanis,Santis,108924
PC Names,Santis→Sanis,Santis,110103
