Category,Correction,Original Text,Position
Artifacts,leather daddy bowl→leather daddy ball,leather daddy bowl,824
Entities,Ghost Mine→Ghost Mind,ghost mine,177
Entities,Ghost Mine→Ghost Mind,Ghost Mine,2964
Entities,Ghost Mine→Ghost Mind,Ghost Mine,3058
Entities,Ghost Mine→Ghost Mind,ghost mine,8250
Entities,Ghost Mine→Ghost Mind,ghost mine,47556
Entities,Ghost Mine→Ghost Mind,ghost mine,50404
Entities,Ghost Mine→Ghost Mind,ghost mine,67840
Entities,Ghost Mine→Ghost Mind,ghost mine,73704
Entities,Ghost Mine→Ghost Mind,ghost mine,86403
Entities,Ghost Mine→Ghost Mind,ghost mine,88508
Entities,Ghost Mine→Ghost Mind,ghost mine,90423
Entities,Ghost Mine→Ghost Mind,ghost mine,90896
Entities,Ghost Mine→Ghost Mind,ghost mine,91433
Entities,Ghost Mine→Ghost Mind,Ghost mine,101675
Entities,Ghost Mine→Ghost Mind,ghost mine,128629
Entities,Ghost Miner→Ghost Mind,Ghost Miner,83550
Terms,Guild Pact→Guildpact,Guild pact,57154
Terms,Guild Pact→Guildpact,guild pact,117654
Terms,Guild Pact→Guildpact,guild pact,117761
Terms,Guild Pact→Guildpact,guild pact,117916
Organizations,Gates Watch→Gatewatch,Gates Watch,143442
Organizations,Gate Watch→Gatewatch,Gate Watch,143617
Artifacts,Immortal Son→Immortal Sun,immortal son,139600
Artifacts,Immortal Son→Immortal Sun,immortal son,139736
Artifacts,Eternal Son→Immortal Sun,eternal son,139781
Artifacts,Eternal Sun→Immortal Sun,Eternal sun,139818
Factions,Second Son→Second Sun,second son,140548
Factions,Second Son→Second Sun,second son,140620
Characters,Barbara Rigmos→Borborygmos,Barbara Rigmos,121298
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,133370
Characters,"Zannis Ugin→Sanis, Ugin's",Zannis Ugin,69271
Guilds,Izzy Guild→Izzet Guild,Izzy Guild,109763
Guilds,Izzy Guild→Izzet Guild,Izzy Guild,146178
Guilds,Gru Guild→Gruul Guild,Gru Guild,121283
PC Names,Orphiea→Orphea,Orphiea,13260
PC Names,Orphiea→Orphea,Orphiea,31647
PC Names,Orphiea→Orphea,Orphiea,65595
PC Names,Orphiea→Orphea,Orphiea,69239
PC Names,Orphiea→Orphea,Orphiea,69966
PC Names,Orphiea→Orphea,Orphiea,116799
PC Names,Orphiea→Orphea,Orphiea,126978
PC Names,Orphieus→Orphea,Orphieus,119105
PC Names,Orphieus→Orphea,Orphieus,119124
PC Names,Orphieus→Orphea,Orphieus,119328
PC Names,Santis→Sanis,Santis,26628
PC Names,Santis→Sanis,Santis,87396
PC Names,Santis→Sanis,Santis,91620
PC Names,Santis→Sanis,Santis,92304
PC Names,Santis→Sanis,Santis,93346
PC Names,Santis→Sanis,Santis,103668
PC Names,Santis→Sanis,Santis,104214
PC Names,Santis→Sanis,Santis,136957
PC Names,Santus→Sanis,Santus,47874
PC Names,Santus→Sanis,Santus,92576
PC Names,Varus→Varis,Varus,2390
PC Names,Varus→Varis,Varus,60870
Characters,Nicobolus→Nicol Bolas,Nicobolus,10512
Characters,Kaeya→Kaya,Kaeya,78924
Characters,Kaeya→Kaya,Kaeya,81170
Characters,Kaeya→Kaya,Kaeya,85037
Characters,Kaeya→Kaya,Kaeya,96775
Characters,Kaeya→Kaya,Kaeya,106673
Characters,Kaeya→Kaya,Kaeya,111889
Characters,Kayakasir→Kaya Cassir,Kayakasir,54023
Characters,Hugin's→Ugin's,Hugin's,2705
Characters,Zodix→Szadek,Zodix,55178
Characters,Zadak→Szadek,Zadak,64722
Characters,Zadak→Szadek,Zadak,87639
Characters,Zadak→Szadek,Zadak,100581
Characters,Zadix→Szadek,Zadix,65266
Characters,Zadac→Szadek,Zadac,80641
Characters,Zadig→Szadek,Zadig,67966
Characters,Szadeko→Szadek,Szadeko,63173
Locations,Dravnica→Ravnica,Dravnica,128172
Locations,Nybecks→Nivix,Nybecks,110982
Planes,Exelon→Ixalan,Exelon,140736
Planes,Amikette→Amonkhet,Amikette,147489
PC Names,Ren→Rin," Ren,",8898
PC Names,Ren→Rin,"
Ren,",31498
PC Names,Ren→Rin,"
Ren ",52825
PC Names,Ren→Rin, Ren.,52977
PC Names,Wren→Rin," Wren,",69217
PC Names,Ryn→Rin, Ryn ,128227
PC Names,Selina→Selena, Selina ,12532
PC Names,Selina→Selena, Selina.,110332
Characters,Raul→Ral, Raul ,110991
Characters,Raul→Ral,"
Raul ",116062
Characters,Raul→Ral, Raul ,123516
Characters,Raul→Ral, Raul ,126274
Characters,Raul→Ral, Raul ,135124
Characters,Raul→Ral, Raul?,138803
Characters,Raw→Ral, Raw.,141745
Characters,Raw→Ral," Raw,",143924
Characters,Nicolas→Nicol Bolas, Nicolas ,79636
Characters,Nicolas→Nicol Bolas, Nicolas ,106629
Characters,Raska→Vraska, Raska.,118518
Guilds,Demir→Dimir, Demir ,48883
Guilds,Demir→Dimir, Demir.,51951
