Category,Correction,Original Text,Position
Artifacts,leather daddy bowl→leather daddy ball,leather daddy bowl,1396
Entities,Ghost Mine→Ghost Mind,Ghost Mine,568
Entities,Ghost Mine→Ghost Mind,ghost mine,825
Artifacts,Blaze Bringer→Blazebringer,Blaze bringer,37617
Artifacts,Blaze Bringer→Blazebringer,blaze bringer,57608
Artifacts,Blaze Bringer→Blazebringer,Blaze bringer,85920
Artifacts,Blaze Bringer→Blazebringer,Blaze bringer,86660
Artifacts,Immortal Son→Immortal Sun,immortal son,1180
Factions,Second Son→Second Sun,second son,24074
Locations,Sun Home→Sunhome,Sun Home,6464
Characters,Niv Mizzet→Niv-Mizzet,NIV Mizzet,76520
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,76834
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,99870
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,133530
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,163358
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,163534
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,163685
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,163934
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,166100
PC Names,Orphiea→Orphea,Orphiea,166248
PC Names,Santis→Sanis,Santis,26292
PC Names,Santis→Sanis,Santis,50929
PC Names,Santis→Sanis,Santis,51527
PC Names,Santis→Sanis,Santis,57176
PC Names,Santis→Sanis,Santis,61350
PC Names,Santis→Sanis,Santis,103120
PC Names,Santis→Sanis,Santis,117202
PC Names,Varus→Varis,Varus,7952
PC Names,Varus→Varis,Varus,16742
PC Names,Varus→Varis,Varus,137016
PC Names,Varus→Varis,Varus,137819
PC Names,Varus→Varis,Varus,139532
PC Names,Varus→Varis,Varus,143649
PC Names,Varus→Varis,Varus,143956
PC Names,Varus→Varis,Varus,166051
PC Names,Varus→Varis,Varus,166061
PC Names,Varus→Varis,Varus,188083
PC Names,Varus→Varis,Varus,189050
Characters,Nicobolus→Nicol Bolas,Nicobolus,175306
Locations,Ibidugazi→Vitu-Ghazi,Ibidugazi,169480
Locations,Ibidugazi→Vitu-Ghazi,Ibidugazi,170515
Artifacts,Pippy→Pippi,pippy,1373
PC Names,Ren→Rin, Ren ,7214
PC Names,Ren→Rin, Ren ,55178
PC Names,Ren→Rin, Ren.,79695
PC Names,Selina→Selena, Selina?,162933
PC Names,Selina→Selena, Selina!,163027
PC Names,Selina→Selena, Selina?,163058
PC Names,Selina→Selena, Selina',183654
PC Names,Selina→Selena," Selina,",184288
PC Names,Selina→Selena, Selina',184645
PC Names,Selina→Selena, Selina.,185477
PC Names,Selina→Selena, Selina?,185546
PC Names,Selina→Selena, Selina ,185589
Characters,Raul→Ral, Raul.,166384
Characters,Raul→Ral, Raul.,188265
Characters,Nicolas→Nicol Bolas, Nicolas.,25238
Characters,Nicolas→Nicol Bolas, Nicolas ,77904
Guilds,Boris→Boros, Boris ,5465
Guilds,Boris→Boros, Boris.,20518
Guilds,Boris→Boros, Boris ,51309
Guilds,Boris→Boros, Boris ,53386
