Category,Correction,Original Text,Position
Terms,Plains Walker→Planeswalker,Plains Walker,77739
Artifacts,Immortal Son→Immortal Sun,immortal son,12289
Artifacts,Immortal Son→Immortal Sun,immortal son,12342
Artifacts,Immortal Son→Immortal Sun,immortal son,13634
Artifacts,Immortal Son→Immortal Sun,immortal son,71528
Artifacts,Immortal Son→Immortal Sun,Immortal Son,74205
Factions,Second Son→Second Sun,Second Son,85628
Characters,Barbara Rigmos→Borborygmos,Barbara Rigmos,81285
Characters,Domri Raid→Domri Rade,Domri raid,81449
Guilds,IS A Guild→Izzet Guild,IS A Guild,77043
Guilds,IS A Guild→Izzet Guild,IS A Guild,77204
NPCs,Amara Tangers→Emmara Tandris,Amara Tangers,79312
Locations,Railana Estate→Reylana Mansion,Railana estate,88326
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,113074
Guilds,Celestia Conclave→Selesnya Conclave,Celestia Conclave,77060
Guilds,Celestia Conclave→Selesnya Conclave,Celestia Conclave,77225
Guilds,Celestia Conclave→Selesnya Conclave,Celestia Conclave,78945
Guilds,Celestia Conclave→Selesnya Conclave,Celestia Conclave,84834
Guilds,Solicited Conclave→Selesnya Conclave,solicited conclave,78405
Characters,Nicobolus→Nicol Bolas,Nicobolus,45528
Characters,Kaeya→Kaya,Kaeya,88422
Characters,Kaeya→Kaya,Kaeya,89474
Characters,Barbarigmos→Borborygmos,Barbarigmos,81313
Guilds,Orzov→Orzhov,Orzov,71828
Guilds,Orzov→Orzhov,Orzov,77100
Guilds,Orzov→Orzhov,Orzov,78374
Guilds,Orzov→Orzhov,Orzov,78557
Guilds,Orzov→Orzhov,Orzov,78988
Guilds,Orzov→Orzhov,Orzov,85465
Guilds,Orzov→Orzhov,Orzov,85539
Guilds,Orzov→Orzhov,Orzov,85916
Guilds,Orzov→Orzhov,Orzov,89242
Guilds,Orzov→Orzhov,Orzov,89405
Guilds,Orzov→Orzhov,Orzov,89639
Guilds,Orzov→Orzhov,Orzov,107798
Guilds,Orzov→Orzhov,Orzov,113214
Guilds,Orzov→Orzhov,Orzov,114453
Guilds,Orzov→Orzhov,Orzov,114881
Planes,Exelon→Ixalan,Exelon,17270
Planes,Exelon→Ixalan,Exelon,17596
PC Names,Ren→Rin, Ren ,15003
PC Names,Ren→Rin,"
Ren ",72869
PC Names,Ren→Rin, Ren ,106215
Guilds,Demir→Dimir, Demir ,10656
Guilds,Demir→Dimir, Demir ,74158
Guilds,Demir→Dimir, Demir ,76109
Guilds,Demure→Dimir, Demure ,75498
