Category,Correction,Original Text,Position
Terms,Guild Pact→Guildpact,guild pact,355
Terms,Guild Pact→Guildpact,guild pact,1189
Terms,Guild Pact→Guildpact,Guild pact,8061
Terms,Guild Pact→Guildpact,Guild Pact,33959
Terms,Guild Pact→Guildpact,Guild Pact,34129
Terms,Guild Pact→Guildpact,guild pact,76356
Terms,Guild Pact→Guildpact,Guild pact,78905
Terms,Guild Pact→Guildpact,Guild pact,84283
Terms,Guild Pact→Guildpact,Guild pact,104650
Organizations,Gates Watch→Gatewatch,gates watch,105902
Artifacts,Immortal Son→Immortal Sun,immortal son,2268
Artifacts,Immortal Son→Immortal Sun,immortal Son,62376
Artifacts,Immortal Son→Immortal Sun,immortal son,76018
Artifacts,Immortal Son→Immortal Sun,immortal son,84607
Artifacts,Immortal Son→Immortal Sun,Immortal son,112903
Factions,Second Son→Second Sun,second son,112841
Factions,Second Son→Second Sun,second son,112969
Locations,Blister Coils→Blistercoils,blister coils,89436
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,93605
Guilds,Celestian Conclave→Selesnya Conclave,Celestian conclave,96658
Guilds,Celestia Conclave→Selesnya Conclave,Celestia Conclave,104387
PC Names,Santis→Sanis,Santis,1088
PC Names,Santis→Sanis,Santis,2621
PC Names,Santis→Sanis,Santis,3073
PC Names,Santis→Sanis,Santis,4601
PC Names,Santis→Sanis,Santis,5415
PC Names,Santis→Sanis,Santis,5912
PC Names,Santis→Sanis,Santis,9452
PC Names,Santis→Sanis,Santis,9565
PC Names,Santis→Sanis,Santis,10210
PC Names,Santis→Sanis,Santis,10877
PC Names,Santis→Sanis,Santis,11359
PC Names,Santis→Sanis,Santis,11520
PC Names,Santis→Sanis,Santis,11850
PC Names,Santis→Sanis,Santis,14944
PC Names,Santis→Sanis,Santis,16652
PC Names,Santis→Sanis,Santis,16907
PC Names,Santis→Sanis,Santis,17155
PC Names,Santis→Sanis,Santis,17523
PC Names,Santis→Sanis,Santis,18196
PC Names,Santis→Sanis,Santis,18675
PC Names,Santis→Sanis,Santis,19439
PC Names,Santis→Sanis,Santis,21893
PC Names,Santis→Sanis,Santis,22715
PC Names,Santis→Sanis,Santis,22839
PC Names,Santis→Sanis,Santis,25540
PC Names,Santis→Sanis,Santis,29747
PC Names,Santis→Sanis,Santis,30198
PC Names,Santis→Sanis,Santis,30218
PC Names,Santis→Sanis,Santis,30401
PC Names,Santis→Sanis,Santis,30425
PC Names,Santis→Sanis,Santis,30566
PC Names,Santis→Sanis,Santis,30692
PC Names,Santis→Sanis,Santis,30939
PC Names,Santis→Sanis,Santis,31561
PC Names,Santis→Sanis,Santis,31816
PC Names,Santis→Sanis,Santis,31936
PC Names,Santis→Sanis,Santis,32192
PC Names,Santis→Sanis,Santis,32254
PC Names,Santis→Sanis,Santis,32354
PC Names,Santis→Sanis,Santis,32396
PC Names,Santis→Sanis,Santis,32560
PC Names,Santis→Sanis,Santis,32698
PC Names,Santis→Sanis,Santis,32816
PC Names,Santis→Sanis,Santis,33148
PC Names,Santis→Sanis,Santis,33331
PC Names,Santis→Sanis,Santis,41455
PC Names,Santis→Sanis,Santis,45828
PC Names,Santis→Sanis,Santis,45860
