Category,Correction,Original Text,Position
Terms,Guild Pact→Guildpact,Guild pact,16699
Organizations,Gates Watch→Gatewatch,Gates watch,18961
Organizations,Gates Watch→Gatewatch,gates watch,84719
Organizations,Gates Watch→Gatewatch,Gates watch,85469
Organizations,Gates Watch→Gatewatch,Gates Watch,92453
Organizations,Gates Watch→Gatewatch,Gates watch,92481
Organizations,Gates Watch→Gatewatch,Gates watch,92642
Organizations,Gate Watch→Gatewatch,gate watch,125059
Factions,Second Son→Second Sun,Second Son,15012
Factions,Second Son→Second Sun,Second Son,15132
Factions,Second Son→Second Sun,Second Son,15254
Factions,Second Son→Second Sun,Second Son,22484
Factions,Second Son→Second Sun,Second Son,22529
Locations,Sun Home→Sunhome,Sun Home,63383
Locations,Sun Home→Sunhome,Sun Home,80114
Locations,Sun Home→Sunhome,Sun Home,83532
Locations,Sun Home→Sunhome,Sun Home,145396
Characters,Niv Mizzet→Niv-Mizzet,Niv Mizzet,55412
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,83994
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,85015
Guilds,Celestian Conclave→Selesnya Conclave,Celestian Conclave,93468
Guilds,Celestian Conclave→Selesnya Conclave,Celestian conclave,97691
Guilds,Sledging Conclave→Selesnya Conclave,sledging conclave,85497
PC Names,Santis→Sanis,Santis,64311
PC Names,Santis→Sanis,Santis,75004
PC Names,Santis→Sanis,Santis,76101
PC Names,Santis→Sanis,Santis,97085
PC Names,Santis→Sanis,Santis,118445
PC Names,Santis→Sanis,Santis,128914
PC Names,Santis→Sanis,Santis,141826
PC Names,Santis→Sanis,Santis,155301
PC Names,Varus→Varis,Varus,96972
PC Names,Varus→Varis,Varus,97276
PC Names,Varus→Varis,Varus,98901
PC Names,Varus→Varis,Varus,99235
PC Names,Varus→Varis,Varus,99335
PC Names,Varus→Varis,Varus,99521
Characters,Kaeya→Kaya,Kaeya,4113
Characters,Kaeya→Kaya,Kaeya,14809
Guilds,Orzov→Orzhov,Orzov,80312
Planes,Arcavius→Arcavios,Arcavius,120568
Artifacts,Pippy→Pippi,Pippy,39613
Artifacts,Pippy→Pippi,Pippy,40214
Artifacts,Pippy→Pippi,Pippy,40860
Artifacts,Pippy→Pippi,Pippy,41451
Artifacts,Pippy→Pippi,Pippy,45983
Artifacts,Pippy→Pippi,Pippy,78507
Artifacts,Pippy→Pippi,Pippy,78934
Artifacts,Pippy→Pippi,Pippy,79445
Artifacts,Pippy→Pippi,Pippy,79578
Artifacts,Pippy→Pippi,Pippy,79677
Artifacts,Pippy→Pippi,Pippy,107477
PC Names,Ren→Rin,"
Ren ",28046
PC Names,Ren→Rin, Ren',34039
PC Names,Ren→Rin," Ren,",68987
PC Names,Ren→Rin, Ren',83418
PC Names,Selina→Selena, Selina ,1497
Characters,Raul→Ral, Raul ,23400
Characters,Raul→Ral, Raul ,23482
Characters,Raul→Ral, Raul.,54402
Characters,Raul→Ral, Raul ,54650
Characters,Raul→Ral, Raul ,55477
Characters,Raw→Ral, Raw ,55386
Characters,Raw→Ral, Raw.,63346
Guilds,Demir→Dimir, Demir ,90113
Guilds,Demir→Dimir, Demir ,145778
Guilds,Boris→Boros, Boris ,83535
Guilds,Boris→Boros, Boris ,85300
Guilds,Boris→Boros, Boris ,86711
Guilds,Boris→Boros, Boris ,110568
