Category,Correction,Original Text,Position
Organizations,Gates Watch→Gatewatch,Gates watch,22697
Organizations,Gates Watch→Gatewatch,Gates Watch,22898
Guilds,Celestia Conclave→Selesnya Conclave,Celestia Conclave,41674
PC Names,Santis→Sanis,Santis,15061
PC Names,Santis→Sanis,Santis,15149
PC Names,Santis→Sanis,Santis,17531
PC Names,Varus→Varis,Varus,3379
Planes,Exelon→Ixalan,Exelon,895
Artifacts,Pippy→Pippi,Pippy,39547
Artifacts,Pippy→Pippi,Pippy,39657
Artifacts,Pippy→Pippi,Pippy,39722
Artifacts,Pippy→Pippi,Pippy,40288
